"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"Djibouti","1,901","2,044","2,221","2,424","2,605","2,763","2,913","3,089","3,144","3,393","3,563","3,898","4,152","DJI"
"Dominica","486","498","520","541","576","522","555","612","504","555","607","659","689","DMA"
"Dominican Republic","60,627","62,631","67,098","71,056","75,625","79,153","85,068","89,237","78,625","95,067","113,813","120,794","124,613","DOM"
"Ecuador","87,735","96,570","102,718","97,210","97,671","104,467","107,479","107,596","95,865","107,179","116,133","120,793","123,802","ECU"
"Egypt","294,482","303,194","321,634","350,119","351,443","246,826","263,156","317,894","382,525","423,300","475,231","393,828","383,105","EGY"
"El Salvador","21,386","21,991","22,593","23,438","24,191","24,979","26,021","26,881","24,921","29,043","31,870","33,854","35,365","SLV"
"Equatorial Guinea","22,403","21,949","21,771","13,187","11,238","12,197","13,309","11,365","9,908","12,222","13,717","12,339","12,769","GNQ"
"Eritrea","2,255","1,958","2,604","2,016","2,213","1,904","2,006","1,982","1,982","1,982","1,982","1,982","1,982","ERI"
"Estonia","23,252","25,451","27,063","23,314","24,554","27,460","31,237","31,877","31,795","37,226","38,257","41,482","43,117","EST"
"Eswatini","4,744","4,466","4,288","3,906","3,721","4,467","4,644","4,617","4,136","4,807","4,747","4,621","4,855","SWZ"
"Ethiopia","42,221","46,544","54,165","63,081","72,120","76,841","80,207","92,608","96,611","99,261","118,958","159,761","142,073","ETH"
"Fiji","4,303","4,539","4,857","4,682","4,930","5,353","5,581","5,345","4,228","4,159","4,978","5,477","5,968","FJI"
"Finland","257,606","270,272","273,549","233,234","238,712","253,757","273,993","267,044","269,784","294,419","280,474","295,277","298,639","FIN"
"France","2,684,706","2,816,119","2,861,973","2,442,731","2,469,726","2,587,955","2,782,838","2,723,094","2,645,806","2,968,405","2,796,987","3,061,095","3,161,042","FRA"
"Gabon","17,181","17,596","18,209","14,385","14,020","14,924","16,830","16,875","15,364","19,455","20,485","20,059","20,900","GAB"
"Gambia","1,415","1,376","1,229","1,355","1,470","1,498","1,662","1,806","1,809","2,045","2,135","2,331","2,403","GMB"
"Georgia","16,894","17,516","17,966","15,223","15,445","16,472","17,905","17,645","16,013","18,849","24,985","30,778","34,191","GEO"
"Germany","3,598,761","3,807,079","3,965,893","3,425,446","3,535,812","3,764,023","4,057,272","3,960,332","3,938,244","4,358,147","4,204,327","4,563,523","4,684,182","DEU"
"Ghana","55,800","62,846","54,678","49,437","56,144","60,385","67,259","68,353","70,008","79,514","73,919","80,547","83,289","GHA"
"Greece","238,992","236,560","233,972","194,587","193,044","200,310","213,396","207,329","191,210","218,449","218,162","243,016","256,161","GRC"
"Grenada","800","843","911","997","1,062","1,126","1,167","1,213","1,043","1,122","1,224","1,336","1,351","GRD"
"Guatemala","49,902","52,989","57,835","62,180","66,034","71,624","73,331","77,156","77,718","86,443","95,642","104,354","113,190","GTM"
"Guinea","7,387","8,376","8,777","8,790","8,604","10,325","11,857","13,443","14,089","16,320","19,589","22,089","24,233","GIN"
"Guinea-Bissau","1,050","1,110","1,136","1,153","1,245","1,469","1,555","1,487","1,523","1,722","1,721","2,005","2,186","GNB"
"Guyana","4,063","4,168","4,128","4,280","4,483","4,748","4,788","5,174","5,471","8,041","14,718","16,919","24,659","GUY"
"Haiti","13,709","14,904","15,137","14,831","13,996","15,036","16,454","14,787","14,508","21,017","19,826","19,603","25,285","HTI"
"Honduras","18,523","18,494","19,753","20,978","21,712","23,138","24,067","24,883","23,350","28,146","31,425","34,356","37,100","HND"
"Hong Kong","262,629","275,697","291,460","309,386","320,860","341,271","361,731","363,075","344,941","368,954","358,674","380,762","408,369","HKG"
"Hungary","128,470","135,646","141,129","125,244","128,984","143,335","161,185","164,927","158,468","183,283","177,784","213,315","222,878","HUN"
"Iceland","14,944","16,244","18,052","17,700","21,084","25,060","26,678","24,986","22,035","26,235","29,176","31,702","33,187","ISL"
"India","1,822,862","1,847,019","2,023,143","2,081,604","2,264,818","2,609,908","2,653,495","2,776,336","2,611,953","3,084,517","3,249,939","3,500,906","3,760,814","IND"
"Indonesia","917,870","912,524","890,815","860,854","931,877","1,015,619","1,042,272","1,119,100","1,059,055","1,186,510","1,319,101","1,371,167","1,396,302","IDN"
"Iran","487,110","494,544","532,056","471,415","477,575","507,800","343,713","252,142","209,510","307,337","403,254","421,547","416,676","IRN"
"Iraq","218,032","234,638","234,651","177,634","168,429","190,048","230,189","236,682","182,576","210,753","288,059","270,799","286,523","IRQ"
"Ireland","227,066","242,928","266,559","302,133","305,347","348,232","395,960","407,256","435,659","530,747","548,773","567,537","608,974","IRL"
"Israel","263,172","298,045","314,377","302,839","321,083","357,361","375,471","399,209","410,909","489,736","525,159","513,394","542,285","ISR"
"Italy","2,099,259","2,153,257","2,173,816","1,845,615","1,886,590","1,970,025","2,100,387","2,019,829","1,905,956","2,180,657","2,105,723","2,317,550","2,382,718","ITA"
"Jamaica","15,149","14,582","14,225","14,927","14,931","15,726","16,767","17,002","15,079","15,982","18,710","21,299","21,900","JAM"
"Japan","6,333,803","5,272,297","4,985,764","4,534,438","5,110,357","5,038,232","5,154,293","5,245,755","5,189,197","5,225,934","4,447,976","4,384,854","4,190,008","JPN"
"Jordan","34,903","37,927","40,592","42,454","43,750","45,600","47,503","48,709","48,000","50,775","53,593","56,203","58,701","JOR"
"Kazakhstan","207,999","236,635","221,416","184,388","137,278","166,806","179,340","181,667","171,082","197,112","225,496","261,840","291,480","KAZ"
"Kenya","56,407","61,703","68,395","70,370","74,816","81,965","92,211","100,328","100,922","109,875","114,733","108,206","119,307","KEN"
"Kiribati","207","202","201","192","207","223","234","234","222","286","272","292","343","KIR"
"South Korea","1,335,344","1,434,670","1,556,252","1,539,212","1,578,816","1,710,197","1,824,251","1,751,046","1,744,455","1,942,314","1,799,363","1,844,801","1,875,388","KOR"
"Kosovo","6,167","6,735","7,076","6,296","6,681","7,178","7,882","7,900","7,728","9,418","9,375","10,470","11,200","XKX"
"Kuwait","174,066","174,179","162,695","114,606","109,399","120,688","138,655","140,855","111,048","148,346","183,539","165,474","160,902","KWT"
"Kyrgyzstan","6,604","7,335","7,467","6,678","6,813","7,703","8,271","9,372","8,283","9,256","12,269","15,187","18,175","KGZ"
"Laos","10,194","11,972","13,266","14,418","15,904","17,055","18,131","18,770","18,511","18,533","15,121","14,993","15,792","LAO"
"Latvia","27,136","29,157","30,285","26,347","27,110","29,381","33,263","33,103","33,353","38,209","38,033","42,792","43,988","LVA"
